Y;X1;X2;X3;X4
21.56;6.92;4.99;163.5;327
27.55;7.41;4.87;192.5;385
10.04;7;2.68;191;382
8.84;7.28;2.66;108.5;217
21.69;7.34;3.46;304.5;609
19;7.7;2.08;233;466
9.01;6.75;2.3;310.5;621
15.54;7.57;3.71;227.5;455
17.18;7.55;2.84;236;472
20.48;7.24;3.4;234.5;469
29.6;8.84;2.57;213;426
8.36;6.88;2.77;289.5;579
21.46;8.51;2.55;254.5;509
19.13;7.22;2.57;290;580
22.2;6.67;3.98;305.5;611
12.82;6.46;2.55;304.5;609
9.99;6.95;1.84;234.5;469
20.72;7.18;3.63;330.5;661
18.97;9.62;2.5;262.5;525
20.81;7.43;3.65;324;648
26.95;7.48;3.34;373.5;747
14.73;7.88;3.02;378.5;757
10.68;6.44;2.22;383.5;767
22.91;7.05;2.8;383.5;767
11.89;6.62;2.21;372.5;745
12.55;6.74;2.59;380;760
14.81;6.32;3.77;305.5;703
27.35;6.7;4.17;304.5;909
21.03;6.19;5.23;234.5;870
28.75;10.91;0.35;330.5;852
28.75;10.91;0.35;262.5;886
35.93;10.53;1.5;324;767
20;10;1;373.5;767
49.39;10.51;5.18;378.5;745
14.81;8.57;0.88;373.5;760
